id,category,pattern,hook,body,cta,diagnosis_intent,status,created_at
1,面接官,ストーリー型,"面接が終わった後、後悔することが毎回同じだった。","準備してきた答えを、うまく言えなかった。\n\nでもそれ、内容の問題じゃなかった。\n「自分が何者か」を整理できてないまま話してたから、言葉が出てこなかっただけ。","→ プロフィールへ",medium,draft,2026-06-18
2,面接官,リスト型,"書類を出すたびに、自分が否定される気がした。","採用担当として正直に言うと、不採用の理由はほぼひとつ。\n「自分を出してない書類」だから。\n\n・志望動機がコピペっぽい\n・退職理由が「一身上の都合」だけ\n・強みが「なんでもやります」\n\nスキルじゃなく、人が見えないんです。","→ プロフィールへ",medium,draft,2026-06-18
3,面接官,逆説型,"「御社が第一志望です」と言って、落ちた。","面接官には伝わってます。それ、本心じゃないって。\n\n本当に刺さるのは「こういう仕事がしたくて、御社を選んだ理由」まで言えること。\n\nフワッとした志望動機は、どの会社にも刺さらない。","→ 詳しくはプロフィールへ",medium,draft,2026-06-18
4,面接官,ストーリー型,"面接に6社連続で落ちた。","当時は「自分の価値がないのかも」と思ってた。\n\nでも実際は、伝え方がマッチしてなかっただけだった。\n\n何から整理すればいいか、プロフィールリンクの診断で確認できます。","→ プロフィールに診断あります",high,draft,2026-06-18
5,面接官,ストーリー型,"「なぜ前の会社を辞めたんですか？」と聞かれて、頭が真っ白になった。","準備してたはずなのに言葉が出てこなかった。\n\n正直に言う、でも愚痴にしない。これだけなんです。\n\n「成長できない環境でした」は愚痴。\n「●●を伸ばしたくて動きました」は前向き。\n\n言葉ひとつで印象が変わります。","→ まずはプロフィールの診断から",high,draft,2026-06-18
6,面接官,ストーリー型,"面接の後、電車の中で泣いた。","うまく話せなかった。伝えたいことが全然言えなかった。\n\n面接官が見てるのは、実は話の内容じゃないことが多い。\n\n「この人と働きたい」と思えるかどうか。\n話し方、受け答えの姿勢、正直さ。\nスペックより、空気感を見てます。","",low,draft,2026-06-18
7,面接官,ストーリー型,"面接で落ちた夜、泣いた。","「また落ちた」で終わる夜と、「なぜ落ちたか」を考える夜。\n\n時間が経つと差がでます。\n振り返りは、次の面接の一番の準備です。","→ プロフィールへ",medium,draft,2026-06-18
8,面接官,告白型,"採用担当になって、恥ずかしくなった。","自分が応募者だったとき、全然できてなかった。\n\n採る側からすると、こういう人に来てほしい。\n\n・嘘をつかない\n・自分の言葉で話せる\n・ちゃんと聞ける\n\nスキルよりずっと大事です。","",low,draft,2026-06-18
9,面接官,告白型,"第二新卒の応募書類を見て、もったいないと思うことがある。","採用担当として正直に言います。\n\n第二新卒は「伸びしろ」で採る。スキルは求めてない。\nでも「なぜ辞めたか」「何を変えたいか」が薄い書類は、もったいない。\n\n書けてる人は、ちゃんと通過してます。","→ プロフィールに診断リンクあります",medium,draft,2026-06-18
10,面接官,ストーリー型,"面接が怖くて、3社キャンセルした。","怖いのは準備不足のせいだと思ってた。\n\n違った。「自分が何者か」を整理できてなかっただけだった。\n\nそれが言語化できると、どんな質問にも答えられます。\n\n👇 転職タイプ診断\nhttps://ren-os.github.io/threads-os/career-diagnosis/","→ プロフィールのリンクから診断できます",high,draft,2026-06-18
11,元人事,告白型,"履歴書を見て、落とそうと決めた瞬間がある。","30秒くらいで決まることが多かった。\n\n写真の表情、志望動機の文字数、空白期間の書き方。\n\nスキルより「この人どんな人?」が伝わるかどうかです。","→ プロフィールへ",medium,draft,2026-06-18
12,元人事,リスト型,"転職して後悔してる人を、たくさん見てきた。","パターンはほぼ同じです。\n\n・焦って妥協して入る\n・なぜ辞めたかを整理しないまま動く\n・とにかく数を受ける\n\n原因は、手を動かす前にあることが多い。","→ プロフィールへ",medium,draft,2026-06-18
13,元人事,許可型,"3年以内に辞めたことが、ずっと恥ずかしかった。","でも人事として正直に言うと、それで落とすことはほとんどない。\n\nちゃんと言語化されてれば、マイナスにならない。\nむしろ正直な人の方が、採用側は安心する。","→ プロフィールへ",low,draft,2026-06-18
14,元人事,ストーリー型,"エージェントに登録するのが怖かった。","「正社員経験もないのに相談していいの?」って思ってた。\n\nいいです。むしろフリーターのうちに動く方が、選択肢が広い。\n\n怖かった自分が一番わかってるから、言えます。","→ プロフィールに診断あります",medium,draft,2026-06-18
15,元人事,共感型,"空白期間があることが、ずっと不安だった。","人事目線で言うと、空白期間があっても全然いい。\n\n大事なのは「その期間に何を考えていたか」です。\n\n正直に話せれば、空白はマイナスにならない。","→ 詳しくはプロフィールへ",medium,draft,2026-06-18
16,元人事,ストーリー型,"「未経験歓迎」に応募して、全部落ちた。","「歓迎」だから受かると思ってた。\n\n未経験歓迎は「育てる覚悟がある」という意味。\n落ちてたのは、なぜここで働きたいかが弱かったからだと、後から気づいた。","→ プロフィールへ",medium,draft,2026-06-18
